Year,Season,NOC,Total_Medals,Gold,Silver,Bronze,Men_Medals,Women_Medals,Is_Host
1896,Summer,GRE,44,10,17,17,44.0,0.0,1
1896,Summer,USA,19,11,6,2,19.0,0.0,0
1896,Summer,GER,14,7,5,2,14.0,0.0,0
1896,Summer,FRA,11,5,4,2,11.0,0.0,0
1896,Summer,GBR,9,3,3,3,9.0,0.0,0
1896,Summer,HUN,6,2,1,3,6.0,0.0,0
1896,Summer,DEN,6,1,2,3,6.0,0.0,0
1896,Summer,AUT,5,2,1,2,5.0,0.0,0
1896,Summer,SUI,3,1,2,0,3.0,0.0,0
1896,Summer,AUS,3,2,0,1,3.0,0.0,0
1896,Summer,ITA,0,0,0,0,0.0,0.0,0
1896,Summer,SWE,0,0,0,0,0.0,0.0,0
1900,Summer,FRA,102,28,40,34,100.0,2.0,1
1900,Summer,USA,54,21,16,17,49.0,5.0,0
1900,Summer,GBR,42,19,11,12,40.0,2.0,0
1900,Summer,BEL,18,6,7,5,18.0,0.0,0
1900,Summer,SUI,9,6,2,1,9.0,0.0,0
1900,Summer,GER,8,4,3,1,8.0,0.0,0
1900,Summer,DEN,7,2,3,2,7.0,0.0,0
1900,Summer,NED,7,1,2,4,7.0,0.0,0
1900,Summer,AUT,6,0,3,3,6.0,0.0,0
1900,Summer,AUS,6,3,0,3,6.0,0.0,0
1900,Summer,NOR,5,0,2,3,5.0,0.0,0
1900,Summer,ITA,5,3,2,0,5.0,0.0,0
1900,Summer,HUN,5,1,2,2,5.0,0.0,0
1900,Summer,BOH,3,0,1,2,1.0,2.0,0
1900,Summer,SWE,2,1,0,1,2.0,0.0,0
1900,Summer,CUB,2,1,1,0,2.0,0.0,0
1900,Summer,CAN,2,1,0,1,2.0,0.0,0
1900,Summer,IND,2,0,2,0,2.0,0.0,0
1900,Summer,ESP,1,1,0,0,1.0,0.0,0
1900,Summer,HAI,1,1,0,0,1.0,0.0,0
1900,Summer,MEX,1,0,0,1,1.0,0.0,0
1900,Summer,COL,1,0,1,0,1.0,0.0,0
1900,Summer,NZL,1,1,0,0,1.0,0.0,0
1900,Summer,LUX,1,1,0,0,1.0,0.0,0
1900,Summer,ARG,0,0,0,0,0.0,0.0,0
1900,Summer,PER,0,0,0,0,0.0,0.0,0
1900,Summer,RUS,0,0,0,0,0.0,0.0,0
1900,Summer,BRA,0,0,0,0,0.0,0.0,0
1900,Summer,IRI,0,0,0,0,0.0,0.0,0
1900,Summer,GRE,0,0,0,0,0.0,0.0,0
1900,Summer,ROU,0,0,0,0,0.0,0.0,0
1904,Summer,USA,230,76,79,75,223.0,7.0,1
1904,Summer,GER,16,4,5,7,16.0,0.0,0
1904,Summer,CAN,6,4,1,1,6.0,0.0,0
1904,Summer,CUB,4,4,0,0,4.0,0.0,0
1904,Summer,HUN,4,2,1,1,4.0,0.0,0
1904,Summer,AUS,4,0,3,1,4.0,0.0,0
1904,Summer,AUT,4,2,1,1,4.0,0.0,0
1904,Summer,SUI,3,1,0,2,3.0,0.0,0
1904,Summer,FRA,2,0,2,0,2.0,0.0,0
1904,Summer,GBR,2,1,1,0,2.0,0.0,0
1904,Summer,GRE,2,1,0,1,2.0,0.0,0
1904,Summer,NOR,2,2,0,0,2.0,0.0,0
1904,Summer,ITA,0,0,0,0,0.0,0.0,0
1904,Summer,NFL,0,0,0,0,0.0,0.0,0
1904,Summer,RSA,0,0,0,0,0.0,0.0,0
1906,Summer,FRA,41,15,10,16,40.0,1.0,0
1906,Summer,GRE,35,8,14,13,31.0,4.0,0
1906,Summer,GBR,25,8,12,5,25.0,0.0,0
1906,Summer,USA,23,12,5,6,23.0,0.0,0
1906,Summer,ITA,16,7,6,3,16.0,0.0,0
1906,Summer,GER,14,4,6,4,14.0,0.0,0
1906,Summer,SWE,14,2,5,7,14.0,0.0,0
1906,Summer,HUN,10,2,5,3,10.0,0.0,0
1906,Summer,AUT,9,3,3,3,9.0,0.0,0
1906,Summer,SUI,8,4,3,1,8.0,0.0,0
1906,Summer,BEL,7,2,2,3,7.0,0.0,0
1906,Summer,DEN,6,3,2,1,6.0,0.0,0
