Year,Season,NOC,Total_Medals,Gold,Silver,Bronze
2018,Winter,NOR,39,14,14,11
2018,Winter,GER,31,14,10,7
2018,Winter,CAN,29,11,8,10
2018,Winter,USA,23,9,8,6
2018,Winter,NED,20,8,6,6
2018,Winter,SWE,14,7,6,1
2018,Winter,KOR,17,5,8,4
2018,Winter,SUI,15,5,6,4
2018,Winter,FRA,15,5,4,6
2018,Winter,AUT,14,5,3,6
2018,Winter,JPN,13,4,5,4
2018,Winter,ITA,10,3,2,5
2018,Winter,OAR,17,2,6,9
2018,Winter,CZE,7,2,2,3
2018,Winter,BLR,3,2,1,0
2018,Winter,CHN,9,1,6,2
2018,Winter,SVK,3,1,2,0
2018,Winter,FIN,6,1,1,4
2018,Winter,GBR,5,1,0,4
2018,Winter,POL,2,1,0,1
2018,Winter,HUN,1,1,0,0
2018,Winter,UKR,1,1,0,0
2018,Winter,AUS,3,0,2,1
2018,Winter,SLO,2,0,1,1
2018,Winter,BEL,1,0,1,0
2018,Winter,NZL,2,0,0,2
2018,Winter,ESP,2,0,0,2
2018,Winter,KAZ,1,0,0,1
2018,Winter,LAT,1,0,0,1
2018,Winter,LIE,1,0,0,1
2020,Summer,USA,113,39,41,33
2020,Summer,CHN,89,38,32,19
2020,Summer,JPN,58,27,14,17
2020,Summer,GBR,64,22,20,22
2020,Summer,ROC,71,20,28,23
2020,Summer,AUS,46,17,7,22
2020,Summer,NED,36,10,12,14
2020,Summer,FRA,33,10,12,11
2020,Summer,GER,37,10,11,16
2020,Summer,ITA,40,10,10,20
2020,Summer,CAN,24,7,7,10
2020,Summer,BRA,21,7,6,8
2020,Summer,NZL,20,7,6,7
2020,Summer,CUB,15,7,3,5
2020,Summer,HUN,20,6,7,7
2020,Summer,KOR,20,6,4,10
2020,Summer,POL,14,4,5,5
2020,Summer,CZE,11,4,4,3
2020,Summer,KEN,10,4,4,2
2020,Summer,NOR,8,4,2,2
2020,Summer,JAM,9,4,1,4
2020,Summer,ESP,17,3,8,6
2020,Summer,SWE,9,3,6,0
2020,Summer,SUI,13,3,4,6
2020,Summer,DEN,11,3,4,4
2020,Summer,CRO,9,3,3,3
2020,Summer,IRI,7,3,2,2
2020,Summer,SRB,8,3,1,4
2020,Summer,BEL,7,3,1,3
2020,Summer,BUL,6,3,1,2
2020,Summer,SLO,5,3,1,1
2020,Summer,UZB,5,3,0,2
2020,Summer,GEO,8,2,5,1
2020,Summer,TPE,12,2,4,6
2020,Summer,TUR,13,2,2,9
2020,Summer,GRE,4,2,1,1
2020,Summer,UGA,4,2,1,1
2020,Summer,ECU,3,2,1,0
2020,Summer,IRL,4,2,0,2
2020,Summer,ISR,4,2,0,2
2020,Summer,QAT,3,2,0,1
2020,Summer,BAH,2,2,0,0
2020,Summer,KOS,2,2,0,0
2020,Summer,UKR,19,1,6,12
2020,Summer,BLR,7,1,3,3
2020,Summer,ROU,4,1,3,0
2020,Summer,VEN,4,1,3,0
2020,Summer,IND,7,1,2,4
2020,Summer,HKG,6,1,2,3
2020,Summer,PHI,4,1,2,1
2020,Summer,SVK,4,1,2,1
2020,Summer,RSA,3,1,2,0
2020,Summer,AUT,7,1,1,5
2020,Summer,EGY,6,1,1,4
2020,Summer,INA,5,1,1,3
2020,Summer,ETH,4,1,1,2
2020,Summer,POR,4,1,1,2
2020,Summer,TUN,2,1,1,0
2020,Summer,EST,2,1,0,1
2020,Summer,FIJ,2,1,0,1
2020,Summer,LAT,2,1,0,1
2020,Summer,THA,2,1,0,1
2020,Summer,BER,1,1,0,0
2020,Summer,MAR,1,1,0,0
2020,Summer,PUR,1,1,0,0
2020,Summer,COL,5,0,4,1
2020,Summer,AZE,7,0,3,4
2020,Summer,DOM,5,0,3,2
2020,Summer,ARM,4,0,2,2
2020,Summer,KGZ,3,0,2,1
2020,Summer,MGL,4,0,1,3
2020,Summer,ARG,3,0,1,2
2020,Summer,SMR,3,0,1,2
2020,Summer,JOR,2,0,1,1
2020,Summer,MAS,2,0,1,1
2020,Summer,NGR,2,0,1,1
2020,Summer,BRN,1,0,1,0
2020,Summer,LTU,1,0,1,0
2020,Summer,NAM,1,0,1,0
2020,Summer,MKD,1,0,1,0
2020,Summer,KSA,1,0,1,0
2020,Summer,TKM,1,0,1,0
2020,Summer,KAZ,8,0,0,8
2020,Summer,MEX,4,0,0,4
2020,Summer,FIN,2,0,0,2
2020,Summer,BOT,1,0,0,1
2020,Summer,BUR,1,0,0,1
2020,Summer,GHA,1,0,0,1
2020,Summer,GRN,1,0,0,1
2020,Summer,CIV,1,0,0,1
2020,Summer,KUW,1,0,0,1
2020,Summer,MDA,1,0,0,1
2020,Summer,SYR,1,0,0,1
2022,Winter,NOR,37,16,8,13
2022,Winter,GER,27,12,10,5
2022,Winter,USA,25,9,9,7
2022,Winter,CHN,15,9,4,2
2022,Winter,SWE,18,8,5,5
2022,Winter,NED,17,8,5,4
2022,Winter,AUT,18,7,7,4
2022,Winter,SUI,15,7,2,6
2022,Winter,ROC,32,5,12,15
2022,Winter,FRA,14,5,7,2
2022,Winter,CAN,26,4,8,14
2022,Winter,JPN,18,3,7,8
