Year,Medals,GDP,Population,Is_Host,Is_Host_Close_Center,Is_Host_Close_GMT1,Is_Host_Close_Main,Is_Host_Close_West,Is_Host_Close_Wide,Is_Communist,NOC,Is_Host_Pre,Is_Host_Post
1972,0.0,3451.0,2263.554,False,False,False,False,False,False,True,ALB,False,True
1992,0.0,2841.76516466455,3077.55,False,False,False,False,False,False,True,ALB,False,False
1996,0.0,3965.68531531917,3144.19,False,False,False,False,False,False,True,ALB,False,False
2000,0.0,4808.47961481352,3064.76,False,False,False,False,False,False,True,ALB,False,False
2004,0.0,6419.87039572498,3013.55,False,False,False,False,False,False,True,ALB,False,False
2008,0.0,8522.12984128861,2934.27,False,False,False,False,False,False,True,ALB,False,False
2012,0.0,9634.33370462354,2887.57,False,False,False,False,False,False,True,ALB,False,False
2016,0.0,10547.2552096775,2863.37,False,False,False,False,False,False,True,ALB,False,False
2024,2.0,14485.629337091434,2377.128,False,False,False,False,False,False,True,ALB,True,False
1964,0.0,2879.0,11612.858,False,False,False,False,False,False,False,ALG,False,True
1968,0.0,3151.0,13146.267,False,False,False,False,False,False,False,ALG,False,False
1972,0.0,3746.0,14760.787,False,False,False,False,False,False,False,ALG,False,False
1980,0.0,5024.0,18806.061,False,False,False,False,False,False,False,ALG,False,False
1984,2.0,5361.0,21340.546,False,False,False,False,False,False,False,ALG,False,False
1988,0.0,4850.0,23880.766,False,False,False,False,False,False,False,ALG,False,False
1992,2.0,4850.22333074477,26386.97,False,False,False,False,False,False,False,ALG,False,False
1996,3.0,5451.63444208551,28721.5,False,False,False,False,False,False,False,ALG,False,False
2000,5.0,6834.55387976764,30514.67,False,False,False,False,False,False,False,ALG,False,False
2004,0.0,9182.29418389124,32320.2,False,False,False,False,False,False,False,ALG,False,False
2008,2.0,11475.0024058251,34480.04,False,False,False,False,False,False,False,ALG,False,False
2012,1.0,13392.9447019401,37214.94,False,False,False,False,False,False,False,ALG,False,False
2016,2.0,14198.2727612004,40087.3,False,False,False,False,False,False,False,ALG,False,False
2024,3.0,14164.049475313064,46814.308,False,False,False,False,False,False,False,ALG,True,False
1980,0.0,1532.0,6743.08,False,False,False,False,False,False,False,ANG,False,True
1988,0.0,1360.0,8023.39,False,False,False,False,False,False,False,ANG,False,False
1992,0.0,1389.32948669997,8898.84,False,False,False,False,False,False,False,ANG,False,False
1996,0.0,1533.98393133996,10312.91,False,False,False,False,False,False,False,ANG,False,False
2000,0.0,2013.63622951894,11676.48,False,False,False,False,False,False,False,ANG,False,False
2004,0.0,3064.29865043472,13480.16,False,False,False,False,False,False,False,ANG,False,False
